"ID"	"SiteFK"	"Circle"	"Orientation"	"Code"	"Species"
2662	1300	3	"E"	490	"Red maple"
2663	1300	4	"A"	491	"Red maple"
2664	1300	4	"B"	492	"Red oak"
2665	1300	4	"C"	493	"Red oak"
2666	1300	4	"D"	494	"Striped maple"
2667	1300	4	"E"	495	"Striped maple"
2668	1300	5	"A"	496	"8"
2669	1300	5	"B"	497	"8"
2670	1300	5	"C"	498	"9"
2671	1300	5	"D"	499	"American chestnut"
2672	1300	5	"E"	500	"American chestnut"
2673	1300	1	"A"	501	"Black locust"
2674	1300	1	"B"	502	"Fraser magnolia"
2675	1300	1	"C"	503	"Mountain winterberry"
2676	1300	1	"D"	504	"Mountain winterberry"
2677	1300	1	"E"	505	"Red maple"
2678	1300	2	"A"	506	"Red maple"
2679	1300	2	"B"	507	"Red oak"
2680	1300	2	"C"	508	"Red oak"
2681	1300	2	"D"	509	"Rhododendron"
2682	1300	2	"E"	510	"Rhododendron"
2683	1300	3	"A"	511	"Serviceberry"
2684	1300	3	"B"	512	"Serviceberry"
2685	1300	3	"C"	513	"Striped maple"
2686	1300	3	"D"	514	"Striped maple"
2687	1300	3	"E"	515	"Witch hazel"
2688	1300	4	"A"	516	"Witch hazel"
2689	1300	4	"B"	517	"Yellow birch"
2690	1300	4	"C"	518	"Yellow birch"
2691	1300	4	"D"	519	"Red maple"
2692	1300	4	"E"	520	"Red maple"
2693	1300	5	"A"	521	"Striped maple"
2694	1300	5	"B"	522	"Striped maple"
2695	1300	5	"C"	523	"American chestnut"
2696	1300	5	"D"	524	"Black birch"
2697	1300	5	"E"	525	"Mountain winterberry"
2698	1300	1	"A"	526	"Mountain winterberry"
2699	1300	1	"B"	527	"Red maple"
2700	1300	1	"C"	528	"Red maple"
2701	1300	1	"D"	529	"Red oak"
2702	1300	1	"E"	530	"Red oak"
2703	1300	2	"A"	531	"Rhododendron"
2704	1300	2	"B"	532	"Rhododendron"
2705	1300	2	"C"	533	"Serviceberry"
2706	1300	2	"D"	534	"Serviceberry"
2707	1300	2	"E"	535	"Striped maple"
2708	1300	3	"A"	536	"Striped maple"
2709	1300	3	"B"	537	"Witch hazel"
2710	1300	3	"C"	538	"Witch hazel"
2711	1300	3	"D"	539	"Yellow birch"
2712	1300	3	"E"	540	"Yellow birch"
2713	1300	4	"A"	541	"8"
2714	1300	4	"B"	542	"8"
2715	1300	4	"C"	543	"American chestnut"
2716	1300	4	"D"	544	"American chestnut"
2717	1300	4	"E"	545	"Black locust"
2718	1300	5	"A"	546	"Black locust"
2719	1300	5	"B"	547	"Mountain winterberry"
2720	1300	5	"C"	548	"Red maple"
2721	1300	5	"D"	549	"Red maple"
2722	1300	5	"E"	550	"Red oak"
2723	1300	1	"A"	551	"Red oak"
2724	1300	1	"B"	552	"Rhododendron"
2725	1300	1	"C"	553	"Rhododendron"
2726	1300	1	"D"	554	"Serviceberry"
2727	1300	1	"E"	555	"Striped maple"
2728	1300	2	"A"	556	"White oak"
2729	1300	2	"B"	557	"Witch hazel"
2730	1300	2	"C"	558	"Witch hazel"
2731	1300	2	"D"	559	"American chestnut"
2732	1300	2	"E"	560	"American chestnut"
2733	1300	3	"A"	561	"Black gum"
2734	1300	3	"B"	562	"Black locust"
2735	1300	3	"C"	563	"Black locust"
2736	1300	3	"D"	564	"Fraser magnolia"
2737	1300	3	"E"	565	"Pignut hickory"
2738	1300	4	"A"	566	"Red maple"
2739	1300	4	"B"	567	"Red maple"
2740	1300	4	"C"	568	"Red oak"
2741	1300	4	"D"	569	"Red oak"
2742	1300	4	"E"	570	"Rhododendron"
2743	1300	5	"A"	571	"Serviceberry"
2744	1300	5	"B"	572	"Serviceberry"
2745	1300	5	"C"	573	"Striped maple"
2746	1300	5	"D"	574	"Striped maple"
2747	1300	5	"E"	575	"White oak"
2748	1300	1	"A"	576	"Witch hazel"
2749	1300	1	"B"	577	"Witch hazel"
2750	1300	1	"C"	578	"Yellow birch"
2751	1300	1	"D"	579	"8"
2752	1300	1	"E"	580	"8"
2753	1300	2	"A"	581	"American chestnut"
2754	1300	2	"B"	582	"American chestnut"
2755	1300	2	"C"	583	"Black locust"
2756	1300	2	"D"	584	"Black locust"
2757	1300	2	"E"	585	"Mountain winterberry"
